year,state_fips,state_name,graduation_rate,per_pupil_spending,per_pupil_spending_2019,median_hh_income,median_hh_income_2019,poverty_rate,poverty_population,poverty_below
2010,1,Alabama,72.0,8725.97101192241,10230.65,40474.0,47453.23,19.03,4666970,888290
2011,1,Alabama,75.0,8576.869771333335,9748.14,41415.0,47070.69,19.04,4687363,892483
2012,1,Alabama,80.0,8772.540782958678,9768.38,41574.0,46293.39,18.96,4706978,892564
2013,1,Alabama,86.3,9036.174200352718,9916.68,42849.0,47024.33,18.73,4716105,883371
2014,1,Alabama,89.3,9146.460735805547,9877.49,42830.0,46253.17,19.25,4727549,910175
2015,1,Alabama,87.1,9257.567687879224,9985.62,44765.0,48285.51,18.5,4736333,876016
2016,1,Alabama,89.3,9527.70292376465,10148.97,46257.0,49273.25,17.09,4741329,810231
2017,1,Alabama,90.0,9716.658875282175,10134.35,48123.0,50191.67,16.89,4752560,802656
2018,1,Alabama,91.7,10106.52825138296,10289.66,49861.0,50764.47,16.8,4763828,800422
2019,1,Alabama,90.6,10140.18446055345,10140.18,51734.0,51734.0,15.46,4781688,739108
2010,2,Alaska,68.0,16663.16057802943,19536.51,64576.0,75711.31,9.94,696822,69279
2011,2,Alaska,70.0,17475.47118558783,19861.95,67825.0,77087.28,10.46,706860,73905
2012,2,Alaska,71.8,18217.1470617314,20285.12,67712.0,75398.52,10.12,715608,72400
2013,2,Alaska,71.1,18465.91085502199,20265.28,72237.0,79275.98,9.33,718359,67016
2014,2,Alaska,75.6,20190.8288101482,21804.57,71583.0,77304.23,11.23,717723,80627
2015,2,Alaska,76.1,17509.92235633355,18886.98,73355.0,79123.94,10.34,720765,74532
2016,2,Alaska,78.2,17837.58383871867,19000.71,76440.0,81424.38,9.89,723968,71566
2017,2,Alaska,78.5,17725.78796887229,18487.77,73181.0,76326.84,11.11,720472,80012
2018,2,Alaska,80.4,18393.05793239312,18726.34,74346.0,75693.13,10.91,720869,78620
2019,2,Alaska,79.1,18313.10043403501,18313.1,75463.0,75463.0,10.08,713725,71938
2010,4,Arizona,78.0,7781.854881404356,9123.74,46789.0,54857.17,17.44,6272686,1094249
2011,4,Arizona,76.0,7383.086411513637,8391.33,46709.0,53087.65,18.99,6336449,1203501
2012,4,Arizona,75.1,7494.629106908124,8345.4,47826.0,53255.1,18.66,6401273,1194506
2013,4,Arizona,75.7,7426.770989936005,8150.46,48510.0,53236.95,18.63,6477191,1206460
2014,4,Arizona,77.4,7590.187653691869,8196.83,50068.0,54069.66,18.24,6573369,1199061
2015,4,Arizona,79.5,7772.177876256597,8383.41,51492.0,55541.54,17.37,6671705,1159043
2016,4,Arizona,78.0,8053.187081755256,8578.31,53558.0,57050.33,16.36,6771098,1107464
2017,4,Arizona,78.7,8372.606504626949,8732.52,56581.0,59013.25,14.86,6856067,1018935
2018,4,Arizona,77.8,8772.758387680156,8931.72,59246.0,60319.52,14.02,7013444,983499
2019,4,Arizona,77.3,8694.369790915835,8694.37,62055.0,62055.0,13.47,7116266,958442
2010,5,Arkansas,81.0,9495.962328411952,11133.42,38307.0,44912.56,18.84,2839798,534898
2011,5,Arkansas,84.0,9536.040390052864,10838.3,38758.0,44050.85,19.46,2856663,555876
2012,5,Arkansas,84.9,9538.41826405873,10621.2,40112.0,44665.42,19.83,2865098,568065
2013,5,Arkansas,86.9,9751.590229377178,10701.81,40511.0,44458.51,19.68,2873340,565469
2014,5,Arkansas,84.9,9804.754396364357,10588.39,41262.0,44559.84,18.87,2882856,543882
2015,5,Arkansas,87.0,9900.217159217444,10678.81,41995.0,45297.66,19.07,2887337,550508
2016,5,Arkansas,88.0,10004.04221729993,10656.37,44334.0,47224.86,17.22,2898630,499225
2017,5,Arkansas,89.2,10167.80989951319,10604.89,45869.0,47840.78,16.4,2916321,478365
2018,5,Arkansas,87.6,10411.53269290175,10600.19,47062.0,47914.75,17.25,2925448,504504
2019,5,Arkansas,88.8,10368.66128224065,10368.66,48952.0,48952.0,16.21,2929117,474739
2010,6,California,76.0,9146.374347372748,10723.55,57708.0,67659.01,15.8,36593372,5783043
2011,6,California,79.0,9220.216166966238,10479.34,57287.0,65110.2,16.56,36941931,6118803
2012,6,California,80.4,9258.49863218239,10309.5,58328.0,64949.26,16.96,37303266,6325319
2013,6,California,81.0,9671.240259872957,10613.63,60190.0,66055.09,16.84,37593091,6328824
2014,6,California,82.0,10448.71098693459,11283.82,61933.0,66882.96,16.45,38060228,6259098
2015,6,California,83.0,11420.47367021103,12318.63,64500.0,69572.55,15.34,38398057,5891678
2016,6,California,82.7,12151.22120105789,12943.56,67739.0,72156.02,14.35,38513258,5525524
2017,6,California,83.0,12664.23808306946,13208.64,71805.0,74891.69,13.3,38793027,5160208
2018,6,California,84.5,13641.0689775782,13888.24,75277.0,76641.0,12.8,38818454,4969326
2019,6,California,84.3,13841.18038468597,13841.18,80440.0,80440.0,11.75,38733295,4552837
2010,8,Colorado,74.0,8786.103598176722,10301.16,54046.0,63365.55,13.37,4934178,659786
2011,8,Colorado,75.0,8594.037505926148,9767.65,55387.0,62950.73,13.48,5002128,674195
2012,8,Colorado,76.9,8693.048746990658,9679.86,56765.0,63208.84,13.71,5069071,694842
2013,8,Colorado,77.3,9035.721406751887,9916.19,58823.0,64554.88,12.96,5151461,667446
2014,8,Colorado,77.3,9291.79464030614,10034.44,61303.0,66202.61,12.04,5237149,630786
2015,8,Colorado,78.9,9618.789916050502,10375.25,63909.0,68935.07,11.49,5339618,613549
2016,8,Colorado,79.1,9849.440847098236,10491.69,65685.0,69968.08,11.05,5420327,598736
2017,8,Colorado,80.8,10238.06052752999,10678.17,69117.0,72088.14,10.29,5483104,564312
2018,8,Colorado,81.1,11072.01478822559,11272.64,71953.0,73256.77,9.64,5577020,537492
2019,8,Colorado,81.9,11646.82635347555,11646.83,77127.0,77127.0,9.35,5637904,526979
2010,9,Connecticut,83.0,16223.53256646199,19021.08,64032.0,75073.51,10.1,3466977,350145
2011,9,Connecticut,85.0,16854.93382837004,19156.67,65753.0,74732.33,10.88,3471802,377856
2012,9,Connecticut,85.5,17320.8838723378,19287.11,67276.0,74913.02,10.69,3484178,372390
2013,9,Connecticut,87.0,18400.65645367997,20193.67,67098.0,73636.22,10.73,3485353,373900
2014,9,Connecticut,87.2,19019.58626662588,20539.72,70048.0,75646.55,10.75,3485629,374772
2015,9,Connecticut,87.4,19614.57541552572,21157.15,71346.0,76956.95,10.54,3480932,366909
2016,9,Connecticut,87.9,19929.37464820844,21228.9,73433.0,78221.3,9.77,3469514,339128
2017,9,Connecticut,88.4,20147.10854376534,21013.17,74168.0,77356.27,9.59,3482584,334128
2018,9,Connecticut,88.5,21140.03831313588,21523.09,76348.0,77731.41,10.42,3468263,361377
2019,9,Connecticut,88.3,20889.13641276328,20889.14,78833.0,78833.0,10.03,3460446,347149
2010,10,Delaware,78.0,12467.28564252761,14617.11,55847.0,65477.11,11.83,874321,103427
2011,10,Delaware,80.0,13580.43458502009,15435.0,58814.0,66845.73,11.88,882353,104831
2012,10,Delaware,80.4,13652.7431525429,15202.57,58415.0,65046.14,12.05,890738,107307
2013,10,Delaware,87.0,13793.18557640466,15137.23,57846.0,63482.68,12.37,900322,111327
2014,10,Delaware,85.6,13881.70984467555,14991.2,59716.0,64488.77,12.48,909611,113508
2015,10,Delaware,85.5,14397.11607970515,15529.37,61255.0,66072.35,12.43,920355,114360
2016,10,Delaware,86.9,14891.89292843304,15862.94,61757.0,65783.95,11.67,926864,108211
2017,10,Delaware,86.9,15281.80430396279,15938.72,62852.0,65553.83,13.58,934947,126986
2018,10,Delaware,89.0,15928.69760485532,16217.32,64805.0,65979.25,12.46,940786,117242
2019,10,Delaware,89.0,16776.79361109126,16776.79,70176.0,70176.0,11.26,944955,106383
2010,12,Florida,71.0,9030.2522778886,10587.41,44409.0,52066.77,16.53,18436788,3047343
2011,12,Florida,75.0,8520.023745238284,9683.53,44299.0,50348.54,17.01,18652057,3173456
2012,12,Florida,75.6,8623.044830511684,9601.91,45040.0,50152.84,17.12,18912479,3238581
2013,12,Florida,76.1,8954.836419376465,9827.42,46036.0,50521.88,17.01,19129950,3253333
2014,12,Florida,77.9,9112.82508422369,9841.16,47463.0,51256.46,16.5,19470210,3211615
2015,12,Florida,80.7,9175.89250399501,9897.52,49426.0,53313.07,15.7,19850054,3116886
2016,12,Florida,82.3,9373.835214611236,9985.07,50860.0,54176.4,14.73,20191342,2973512
2017,12,Florida,86.3,9663.470680237138,10078.88,52594.0,54854.86,14.05,20569920,2889506
2018,12,Florida,87.2,9986.290995009917,10167.24,55462.0,56466.96,13.6,20882651,2840977
2019,12,Florida,90.2,10304.61351825335,10304.61,59227.0,59227.0,12.66,21048884,2664772
2010,13,Georgia,67.0,9258.966260739731,10855.56,46430.0,54436.27,17.88,9446906,1688932
2011,13,Georgia,70.0,9272.097435870046,10538.31,46007.0,52289.78,19.14,9550271,1827743
2012,13,Georgia,71.7,9121.376892467237,10156.82,47209.0,52568.06,19.15,9652596,1848533
2013,13,Georgia,72.5,9235.796607013484,10135.76,47829.0,52489.6,18.97,9720914,1843768
