year,state_fips,state_name,median_hh_income,poverty_population,poverty_below,poverty_rate,graduation_rate,per_pupil_spending
2010,1,Alabama,40474.0,4666970,888290,19.03,72.0,8725.97101192241
2011,1,Alabama,41415.0,4687363,892483,19.04,75.0,8576.869771333335
2012,1,Alabama,41574.0,4706978,892564,18.96,80.0,8772.540782958678
2013,1,Alabama,42849.0,4716105,883371,18.73,86.3,9036.174200352718
2014,1,Alabama,42830.0,4727549,910175,19.25,89.3,9146.460735805547
2015,1,Alabama,44765.0,4736333,876016,18.5,87.1,9257.567687879224
2016,1,Alabama,46257.0,4741329,810231,17.09,89.3,9527.70292376465
2017,1,Alabama,48123.0,4752560,802656,16.89,90.0,9716.658875282175
2018,1,Alabama,49861.0,4763828,800422,16.8,91.7,10106.52825138296
2019,1,Alabama,51734.0,4781688,739108,15.46,90.6,10140.18446055345
2010,2,Alaska,64576.0,696822,69279,9.94,68.0,16663.16057802943
2011,2,Alaska,67825.0,706860,73905,10.46,70.0,17475.47118558783
2012,2,Alaska,67712.0,715608,72400,10.12,71.8,18217.1470617314
2013,2,Alaska,72237.0,718359,67016,9.33,71.1,18465.91085502199
2014,2,Alaska,71583.0,717723,80627,11.23,75.6,20190.8288101482
2015,2,Alaska,73355.0,720765,74532,10.34,76.1,17509.92235633355
2016,2,Alaska,76440.0,723968,71566,9.89,78.2,17837.58383871867
2017,2,Alaska,73181.0,720472,80012,11.11,78.5,17725.78796887229
2018,2,Alaska,74346.0,720869,78620,10.91,80.4,18393.05793239312
2019,2,Alaska,75463.0,713725,71938,10.08,79.1,18313.10043403501
2010,4,Arizona,46789.0,6272686,1094249,17.44,78.0,7781.854881404356
2011,4,Arizona,46709.0,6336449,1203501,18.99,76.0,7383.086411513637
2012,4,Arizona,47826.0,6401273,1194506,18.66,75.1,7494.629106908124
2013,4,Arizona,48510.0,6477191,1206460,18.63,75.7,7426.770989936005
2014,4,Arizona,50068.0,6573369,1199061,18.24,77.4,7590.187653691869
2015,4,Arizona,51492.0,6671705,1159043,17.37,79.5,7772.177876256597
2016,4,Arizona,53558.0,6771098,1107464,16.36,78.0,8053.187081755256
2017,4,Arizona,56581.0,6856067,1018935,14.86,78.7,8372.606504626949
2018,4,Arizona,59246.0,7013444,983499,14.02,77.8,8772.758387680156
2019,4,Arizona,62055.0,7116266,958442,13.47,77.3,8694.369790915835
2010,5,Arkansas,38307.0,2839798,534898,18.84,81.0,9495.962328411952
2011,5,Arkansas,38758.0,2856663,555876,19.46,84.0,9536.040390052864
2012,5,Arkansas,40112.0,2865098,568065,19.83,84.9,9538.41826405873
2013,5,Arkansas,40511.0,2873340,565469,19.68,86.9,9751.590229377178
2014,5,Arkansas,41262.0,2882856,543882,18.87,84.9,9804.754396364357
2015,5,Arkansas,41995.0,2887337,550508,19.07,87.0,9900.217159217444
2016,5,Arkansas,44334.0,2898630,499225,17.22,88.0,10004.04221729993
2017,5,Arkansas,45869.0,2916321,478365,16.4,89.2,10167.80989951319
2018,5,Arkansas,47062.0,2925448,504504,17.25,87.6,10411.53269290175
2019,5,Arkansas,48952.0,2929117,474739,16.21,88.8,10368.66128224065
2010,6,California,57708.0,36593372,5783043,15.8,76.0,9146.374347372748
2011,6,California,57287.0,36941931,6118803,16.56,79.0,9220.216166966238
2012,6,California,58328.0,37303266,6325319,16.96,80.4,9258.49863218239
2013,6,California,60190.0,37593091,6328824,16.84,81.0,9671.240259872957
2014,6,California,61933.0,38060228,6259098,16.45,82.0,10448.71098693459
2015,6,California,64500.0,38398057,5891678,15.34,83.0,11420.47367021103
2016,6,California,67739.0,38513258,5525524,14.35,82.7,12151.22120105789
2017,6,California,71805.0,38793027,5160208,13.3,83.0,12664.23808306946
2018,6,California,75277.0,38818454,4969326,12.8,84.5,13641.0689775782
2019,6,California,80440.0,38733295,4552837,11.75,84.3,13841.18038468597
2010,8,Colorado,54046.0,4934178,659786,13.37,74.0,8786.103598176722
2011,8,Colorado,55387.0,5002128,674195,13.48,75.0,8594.037505926148
2012,8,Colorado,56765.0,5069071,694842,13.71,76.9,8693.048746990658
2013,8,Colorado,58823.0,5151461,667446,12.96,77.3,9035.721406751887
2014,8,Colorado,61303.0,5237149,630786,12.04,77.3,9291.79464030614
2015,8,Colorado,63909.0,5339618,613549,11.49,78.9,9618.789916050502
2016,8,Colorado,65685.0,5420327,598736,11.05,79.1,9849.440847098236
2017,8,Colorado,69117.0,5483104,564312,10.29,80.8,10238.06052752999
2018,8,Colorado,71953.0,5577020,537492,9.64,81.1,11072.01478822559
2019,8,Colorado,77127.0,5637904,526979,9.35,81.9,11646.82635347555
2010,9,Connecticut,64032.0,3466977,350145,10.1,83.0,16223.53256646199
2011,9,Connecticut,65753.0,3471802,377856,10.88,85.0,16854.93382837004
2012,9,Connecticut,67276.0,3484178,372390,10.69,85.5,17320.8838723378
2013,9,Connecticut,67098.0,3485353,373900,10.73,87.0,18400.65645367997
2014,9,Connecticut,70048.0,3485629,374772,10.75,87.2,19019.58626662588
2015,9,Connecticut,71346.0,3480932,366909,10.54,87.4,19614.57541552572
2016,9,Connecticut,73433.0,3469514,339128,9.77,87.9,19929.37464820844
2017,9,Connecticut,74168.0,3482584,334128,9.59,88.4,20147.10854376534
2018,9,Connecticut,76348.0,3468263,361377,10.42,88.5,21140.03831313588
2019,9,Connecticut,78833.0,3460446,347149,10.03,88.3,20889.13641276328
2010,10,Delaware,55847.0,874321,103427,11.83,78.0,12467.28564252761
2011,10,Delaware,58814.0,882353,104831,11.88,80.0,13580.43458502009
2012,10,Delaware,58415.0,890738,107307,12.05,80.4,13652.7431525429
2013,10,Delaware,57846.0,900322,111327,12.37,87.0,13793.18557640466
2014,10,Delaware,59716.0,909611,113508,12.48,85.6,13881.70984467555
2015,10,Delaware,61255.0,920355,114360,12.43,85.5,14397.11607970515
2016,10,Delaware,61757.0,926864,108211,11.67,86.9,14891.89292843304
2017,10,Delaware,62852.0,934947,126986,13.58,86.9,15281.80430396279
2018,10,Delaware,64805.0,940786,117242,12.46,89.0,15928.69760485532
2019,10,Delaware,70176.0,944955,106383,11.26,89.0,16776.79361109126
2010,12,Florida,44409.0,18436788,3047343,16.53,71.0,9030.2522778886
2011,12,Florida,44299.0,18652057,3173456,17.01,75.0,8520.023745238284
2012,12,Florida,45040.0,18912479,3238581,17.12,75.6,8623.044830511684
2013,12,Florida,46036.0,19129950,3253333,17.01,76.1,8954.836419376465
2014,12,Florida,47463.0,19470210,3211615,16.5,77.9,9112.82508422369
2015,12,Florida,49426.0,19850054,3116886,15.7,80.7,9175.89250399501
2016,12,Florida,50860.0,20191342,2973512,14.73,82.3,9373.835214611236
2017,12,Florida,52594.0,20569920,2889506,14.05,86.3,9663.470680237138
2018,12,Florida,55462.0,20882651,2840977,13.6,87.2,9986.290995009917
2019,12,Florida,59227.0,21048884,2664772,12.66,90.2,10304.61351825335
2010,13,Georgia,46430.0,9446906,1688932,17.88,67.0,9258.966260739731
2011,13,Georgia,46007.0,9550271,1827743,19.14,70.0,9272.097435870046
2012,13,Georgia,47209.0,9652596,1848533,19.15,71.7,9121.376892467237
2013,13,Georgia,47829.0,9720914,1843768,18.97,72.5,9235.796607013484
2014,13,Georgia,49321.0,9823859,1797969,18.3,78.8,9476.126573215312
2015,13,Georgia,51244.0,9943145,1694988,17.05,79.4,9835.494312946972
2016,13,Georgia,53559.0,10040201,1603013,15.97,80.6,10273.64915895181
2017,13,Georgia,56183.0,10154747,1517702,14.95,81.6,10760.22643926809
2018,13,Georgia,58756.0,10238658,1468642,14.34,82.0,11203.46934589255
2019,13,Georgia,61980.0,10332523,1373909,13.3,83.8,11685.99565113466
2010,15,Hawaii,63030.0,1326373,142185,10.72,80.0,11923.99016152471
2011,15,Hawaii,61821.0,1338543,161290,12.05,81.0,11972.67563188949
2012,15,Hawaii,66259.0,1356822,157243,11.59,82.4,11789.80372374973
2013,15,Hawaii,68020.0,1367662,148368,10.85,81.8,12399.76452830189
2014,15,Hawaii,69592.0,1379804,156729,11.36,81.6,12854.7250526362
2015,15,Hawaii,73486.0,1394121,147984,10.61,82.7,13748.27352949257
2016,15,Hawaii,74511.0,1389442,129569,9.33,82.7,14321.52852106858
2017,15,Hawaii,77765.0,1388550,132549,9.55,84.5,15241.99600192438
2018,15,Hawaii,80212.0,1382448,122143,8.84,85.2,16131.68587473384
2019,15,Hawaii,83102.0,1379078,128722,9.33,86.3,16564.19883702951
2010,16,Idaho,43490.0,1541860,242272,15.71,,6821.406889026641
2011,16,Idaho,43341.0,1550082,255027,16.45,,6626.419779685786
2012,16,Idaho,45489.0,1565511,248494,15.87,,6760.695443661923
2013,16,Idaho,46783.0,1582911,246550,15.58,77.3,6577.135454471864
2014,16,Idaho,47861.0,1603083,237981,14.85,78.9,6929.383075785963
2015,16,Idaho,48275.0,1622116,245551,15.14,79.7,7211.286396124226
2016,16,Idaho,51807.0,1652592,237445,14.37,79.7,7554.398926648721
2017,16,Idaho,52225.0,1686491,216309,12.83,80.7,7845.773163427251
2018,16,Idaho,55583.0,1723154,203264,11.8,80.8,8042.664484319952
2019,16,Idaho,60999.0,1753946,195984,11.17,82.2,8336.635594800317
2010,17,Illinois,52972.0,12543457,1731711,13.81,84.0,11742.14404678788
2011,17,Illinois,53234.0,12566914,1879965,14.96,82.0,12011.25151875885
2012,17,Illinois,55137.0,12573676,1850562,14.72,83.2,12443.25177837191
2013,17,Illinois,56210.0,12576680,1845393,14.67,86.0,13212.84846066957
2014,17,Illinois,57444.0,12571848,1804535,14.35,85.6,13935.11971619212
2015,17,Illinois,59588.0,12559422,1703258,13.56,85.5,14327.43567104961
2016,17,Illinois,60960.0,12502057,1621508,12.97,87.0,15517.21954855091
2017,17,Illinois,62992.0,12503720,1569753,12.55,86.5,15912.47685190737
2018,17,Illinois,65030.0,12447271,1509247,12.13,86.2,16280.58542275143
2019,17,Illinois,69187.0,12373209,1420542,11.48,,17482.71300223384
2010,18,Indiana,44613.0,6294417,962775,15.3,86.0,9251.005494484509
2011,18,Indiana,46438.0,6318942,1011017,16.0,86.0,9587.650506118094
2012,18,Indiana,46974.0,6342423,990325,15.61,87.0,9421.411470861914
2013,18,Indiana,47529.0,6367890,1015127,15.94,87.9,9396.102956410488
2014,18,Indiana,49446.0,6391460,974218,15.24,87.1,9529.432238745483
2015,18,Indiana,50532.0,6417418,933181,14.54,86.8,9687.672641310255
2016,18,Indiana,52314.0,6432804,906077,14.09,83.8,9823.120392893316
2017,18,Indiana,54181.0,6463636,871247,13.48,88.1,10033.12419143852
2018,18,Indiana,55746.0,6489261,852638,13.14,87.2,10252.08022403965
2019,18,Indiana,57603.0,6517430,775823,11.9,90.9,10797.65378524668
2010,19,Iowa,47961.0,2950251,370507,12.56,88.0,9794.505245322978
2011,19,Iowa,49427.0,2963602,378864,12.78,89.0,10026.70839736221
2012,19,Iowa,50957.0,2974225,377484,12.69,89.7,10291.14476466763
2013,19,Iowa,52229.0,2991670,379127,12.67,90.5,10646.57272289866
2014,19,Iowa,53712.0,3004857,367816,12.24,90.8,10937.57409001585
2015,19,Iowa,54736.0,3021823,367414,12.16,91.3,11148.20517151102
2016,19,Iowa,56247.0,3031338,356378,11.76,91.0,11456.36135307582
2017,19,Iowa,58570.0,3044685,326636,10.73,91.4,11724.03051675296
2018,19,Iowa,59955.0,3055939,343504,11.24,91.6,11933.16902762644
2019,19,Iowa,61691.0,3058938,341613,11.17,91.8,11985.78332727652
2010,20,Kansas,48257.0,2775355,377530,13.6,83.0,9802.27925929448
2011,20,Kansas,48964.0,2786855,383467,13.76,85.0,10021.1900729879
2012,20,Kansas,50241.0,2802207,391734,13.98,85.7,10011.1096324863
2013,20,Kansas,50972.0,2811722,393358,13.99,85.7,10239.65529771976
2014,20,Kansas,52504.0,2821431,382712,13.56,85.7,10329.35858428435
2015,20,Kansas,53906.0,2830943,368879,13.03,85.7,10216.03480451073
2016,20,Kansas,54935.0,2825864,342544,12.12,86.5,10427.6825448521
2017,20,Kansas,56422.0,2827376,336487,11.9,87.2,11094.78286339642
2018,20,Kansas,58218.0,2825680,338175,11.97,87.2,11327.9174235986
2019,20,Kansas,62087.0,2826818,323189,11.43,88.2,11960.43994031685
2010,21,Kentucky,40062.0,4215643,800226,18.98,,9227.744833077808
2011,21,Kentucky,41141.0,4238283,811277,19.14,,9326.861875666247
2012,21,Kentucky,41724.0,4247103,823197,19.38,86.1,9274.098338069403
2013,21,Kentucky,43399.0,4266556,800635,18.77,87.5,9411.31233604325
2014,21,Kentucky,42958.0,4275359,817542,19.12,88.0,9559.83806923792
2015,21,Kentucky,45215.0,4290022,794055,18.51,88.6,9831.156218048993
2016,21,Kentucky,46659.0,4298953,794060,18.47,89.7,10083.30873794072
2017,21,Kentucky,48375.0,4316917,744239,17.24,90.3,11081.28193862357
2018,21,Kentucky,50247.0,4326305,730408,16.88,90.6,11280.48492153533
2019,21,Kentucky,52295.0,4326675,703627,16.26,91.1,11370.21745067891
2010,22,Louisiana,42505.0,4413890,825144,18.69,71.0,10798.95482501098
2011,22,Louisiana,41734.0,4445400,908375,20.43,72.0,10726.31359843046
2012,22,Louisiana,42944.0,4471142,891981,19.95,73.5,10539.46695540742
2013,22,Louisiana,44164.0,4494989,888019,19.76,74.6,10852.51848582765
2014,22,Louisiana,44555.0,4518525,896524,19.84,77.5,11105.53565290179
2015,22,Louisiana,45727.0,4541688,889946,19.6,78.6,11168.68682405028
2016,22,Louisiana,45146.0,4546017,918187,20.2,78.1,11377.62278564777
2017,22,Louisiana,46145.0,4553037,899039,19.75,81.4,11636.08692904137
2018,22,Louisiana,47905.0,4529028,843626,18.63,80.1,11920.4784196869
2019,22,Louisiana,51073.0,4515876,857894,19.0,82.9,12009.04220207506
2010,23,Maine,45815.0,1293012,167242,12.93,84.0,12576.24163171618
2011,23,Maine,46033.0,1291650,182448,14.13,85.0,12334.5215511539
2012,23,Maine,46709.0,1293457,189786,14.67,86.4,12693.82789828738
