State,Avg Graduation Rate (%),Avg Per-Pupil Spending ($),Avg Poverty Rate (%)
Alabama,85.13,10024.01,17.98
Alaska,74.88,19516.83,10.34
Arizona,77.35,8552.81,16.8
Arkansas,86.23,10679.2,18.28
California,81.59,11961.01,15.02
Colorado,78.23,10416.39,11.74
Connecticut,86.82,20400.97,10.35
Delaware,84.83,15570.82,12.2
Florida,80.23,9997.48,15.49
Georgia,76.74,10778.78,16.9
Hawaii,82.82,14717.64,10.42
Idaho,79.9,7829.19,14.38
Illinois,85.11,15346.15,13.52
Indiana,87.08,10545.0,14.52
Iowa,90.51,11842.61,12.0
Kansas,85.99,11361.46,12.93
Kentucky,88.99,10815.65,18.27
Louisiana,76.97,12093.96,19.58
Maine,86.48,15121.24,12.92
Maryland,86.15,15815.35,9.71
Massachusetts,86.7,18186.24,11.02
Michigan,78.94,12022.85,15.69
Minnesota,81.35,12980.52,10.57
Mississippi,80.59,9275.23,21.65
Missouri,87.15,11170.57,14.7
Montana,85.21,12125.49,14.3
Nebraska,88.41,13204.95,12.03
Nevada,74.14,9382.8,14.52
New Hampshire,87.79,16602.72,8.31
New Jersey,88.79,20716.54,10.38
New Mexico,70.84,10611.55,20.37
New York,79.86,23397.94,14.95
North Carolina,84.29,9513.51,16.26
North Dakota,87.44,13798.43,11.31
Ohio,82.19,13111.24,15.07
Oklahoma,82.71,8853.22,16.37
Oregon,74.33,11641.19,14.96
Pennsylvania,85.51,16055.14,13.09
Rhode Island,81.61,17359.28,13.32
South Carolina,79.75,10801.2,16.83
South Dakota,83.53,10205.07,13.51
Tennessee,88.36,9733.21,16.67
Texas,88.68,9872.34,16.38
Utah,84.15,7587.72,11.3
Vermont,86.66,20159.56,11.5
Virginia,85.79,12417.57,11.13
Washington,79.57,12368.34,12.27
West Virginia,86.22,12669.77,18.0
Wisconsin,88.7,12830.87,12.28
Wyoming,80.62,17443.35,11.21
