year,state_fips,state_name,median_hh_income,poverty_population,poverty_below,poverty_rate
2010,01,Alabama,40474.0,4666970,888290,19.03
2011,01,Alabama,41415.0,4687363,892483,19.04
2012,01,Alabama,41574.0,4706978,892564,18.96
2013,01,Alabama,42849.0,4716105,883371,18.73
2014,01,Alabama,42830.0,4727549,910175,19.25
2015,01,Alabama,44765.0,4736333,876016,18.5
2016,01,Alabama,46257.0,4741329,810231,17.09
2017,01,Alabama,48123.0,4752560,802656,16.89
2018,01,Alabama,49861.0,4763828,800422,16.8
2019,01,Alabama,51734.0,4781688,739108,15.46
2010,02,Alaska,64576.0,696822,69279,9.94
2011,02,Alaska,67825.0,706860,73905,10.46
2012,02,Alaska,67712.0,715608,72400,10.12
2013,02,Alaska,72237.0,718359,67016,9.33
2014,02,Alaska,71583.0,717723,80627,11.23
2015,02,Alaska,73355.0,720765,74532,10.34
2016,02,Alaska,76440.0,723968,71566,9.89
2017,02,Alaska,73181.0,720472,80012,11.11
2018,02,Alaska,74346.0,720869,78620,10.91
2019,02,Alaska,75463.0,713725,71938,10.08
2010,04,Arizona,46789.0,6272686,1094249,17.44
2011,04,Arizona,46709.0,6336449,1203501,18.99
2012,04,Arizona,47826.0,6401273,1194506,18.66
2013,04,Arizona,48510.0,6477191,1206460,18.63
2014,04,Arizona,50068.0,6573369,1199061,18.24
2015,04,Arizona,51492.0,6671705,1159043,17.37
2016,04,Arizona,53558.0,6771098,1107464,16.36
2017,04,Arizona,56581.0,6856067,1018935,14.86
2018,04,Arizona,59246.0,7013444,983499,14.02
2019,04,Arizona,62055.0,7116266,958442,13.47
2010,05,Arkansas,38307.0,2839798,534898,18.84
2011,05,Arkansas,38758.0,2856663,555876,19.46
2012,05,Arkansas,40112.0,2865098,568065,19.83
2013,05,Arkansas,40511.0,2873340,565469,19.68
2014,05,Arkansas,41262.0,2882856,543882,18.87
2015,05,Arkansas,41995.0,2887337,550508,19.07
2016,05,Arkansas,44334.0,2898630,499225,17.22
2017,05,Arkansas,45869.0,2916321,478365,16.4
2018,05,Arkansas,47062.0,2925448,504504,17.25
2019,05,Arkansas,48952.0,2929117,474739,16.21
2010,06,California,57708.0,36593372,5783043,15.8
2011,06,California,57287.0,36941931,6118803,16.56
2012,06,California,58328.0,37303266,6325319,16.96
2013,06,California,60190.0,37593091,6328824,16.84
2014,06,California,61933.0,38060228,6259098,16.45
2015,06,California,64500.0,38398057,5891678,15.34
2016,06,California,67739.0,38513258,5525524,14.35
2017,06,California,71805.0,38793027,5160208,13.3
2018,06,California,75277.0,38818454,4969326,12.8
2019,06,California,80440.0,38733295,4552837,11.75
2010,08,Colorado,54046.0,4934178,659786,13.37
2011,08,Colorado,55387.0,5002128,674195,13.48
2012,08,Colorado,56765.0,5069071,694842,13.71
2013,08,Colorado,58823.0,5151461,667446,12.96
2014,08,Colorado,61303.0,5237149,630786,12.04
2015,08,Colorado,63909.0,5339618,613549,11.49
2016,08,Colorado,65685.0,5420327,598736,11.05
2017,08,Colorado,69117.0,5483104,564312,10.29
2018,08,Colorado,71953.0,5577020,537492,9.64
2019,08,Colorado,77127.0,5637904,526979,9.35
2010,09,Connecticut,64032.0,3466977,350145,10.1
2011,09,Connecticut,65753.0,3471802,377856,10.88
2012,09,Connecticut,67276.0,3484178,372390,10.69
2013,09,Connecticut,67098.0,3485353,373900,10.73
2014,09,Connecticut,70048.0,3485629,374772,10.75
2015,09,Connecticut,71346.0,3480932,366909,10.54
2016,09,Connecticut,73433.0,3469514,339128,9.77
2017,09,Connecticut,74168.0,3482584,334128,9.59
2018,09,Connecticut,76348.0,3468263,361377,10.42
2019,09,Connecticut,78833.0,3460446,347149,10.03
2010,10,Delaware,55847.0,874321,103427,11.83
2011,10,Delaware,58814.0,882353,104831,11.88
2012,10,Delaware,58415.0,890738,107307,12.05
2013,10,Delaware,57846.0,900322,111327,12.37
2014,10,Delaware,59716.0,909611,113508,12.48
2015,10,Delaware,61255.0,920355,114360,12.43
2016,10,Delaware,61757.0,926864,108211,11.67
2017,10,Delaware,62852.0,934947,126986,13.58
2018,10,Delaware,64805.0,940786,117242,12.46
2019,10,Delaware,70176.0,944955,106383,11.26
2010,12,Florida,44409.0,18436788,3047343,16.53
2011,12,Florida,44299.0,18652057,3173456,17.01
2012,12,Florida,45040.0,18912479,3238581,17.12
2013,12,Florida,46036.0,19129950,3253333,17.01
2014,12,Florida,47463.0,19470210,3211615,16.5
2015,12,Florida,49426.0,19850054,3116886,15.7
2016,12,Florida,50860.0,20191342,2973512,14.73
2017,12,Florida,52594.0,20569920,2889506,14.05
2018,12,Florida,55462.0,20882651,2840977,13.6
2019,12,Florida,59227.0,21048884,2664772,12.66
2010,13,Georgia,46430.0,9446906,1688932,17.88
2011,13,Georgia,46007.0,9550271,1827743,19.14
2012,13,Georgia,47209.0,9652596,1848533,19.15
2013,13,Georgia,47829.0,9720914,1843768,18.97
2014,13,Georgia,49321.0,9823859,1797969,18.3
2015,13,Georgia,51244.0,9943145,1694988,17.05
2016,13,Georgia,53559.0,10040201,1603013,15.97
2017,13,Georgia,56183.0,10154747,1517702,14.95
2018,13,Georgia,58756.0,10238658,1468642,14.34
2019,13,Georgia,61980.0,10332523,1373909,13.3
2010,15,Hawaii,63030.0,1326373,142185,10.72
2011,15,Hawaii,61821.0,1338543,161290,12.05
2012,15,Hawaii,66259.0,1356822,157243,11.59
2013,15,Hawaii,68020.0,1367662,148368,10.85
2014,15,Hawaii,69592.0,1379804,156729,11.36
2015,15,Hawaii,73486.0,1394121,147984,10.61
2016,15,Hawaii,74511.0,1389442,129569,9.33
2017,15,Hawaii,77765.0,1388550,132549,9.55
2018,15,Hawaii,80212.0,1382448,122143,8.84
2019,15,Hawaii,83102.0,1379078,128722,9.33
2010,16,Idaho,43490.0,1541860,242272,15.71
2011,16,Idaho,43341.0,1550082,255027,16.45
2012,16,Idaho,45489.0,1565511,248494,15.87
2013,16,Idaho,46783.0,1582911,246550,15.58
2014,16,Idaho,47861.0,1603083,237981,14.85
2015,16,Idaho,48275.0,1622116,245551,15.14
2016,16,Idaho,51807.0,1652592,237445,14.37
2017,16,Idaho,52225.0,1686491,216309,12.83
2018,16,Idaho,55583.0,1723154,203264,11.8
2019,16,Idaho,60999.0,1753946,195984,11.17
2010,17,Illinois,52972.0,12543457,1731711,13.81
2011,17,Illinois,53234.0,12566914,1879965,14.96
2012,17,Illinois,55137.0,12573676,1850562,14.72
2013,17,Illinois,56210.0,12576680,1845393,14.67
2014,17,Illinois,57444.0,12571848,1804535,14.35
2015,17,Illinois,59588.0,12559422,1703258,13.56
2016,17,Illinois,60960.0,12502057,1621508,12.97
2017,17,Illinois,62992.0,12503720,1569753,12.55
2018,17,Illinois,65030.0,12447271,1509247,12.13
2019,17,Illinois,69187.0,12373209,1420542,11.48
2010,18,Indiana,44613.0,6294417,962775,15.3
2011,18,Indiana,46438.0,6318942,1011017,16.0
2012,18,Indiana,46974.0,6342423,990325,15.61
2013,18,Indiana,47529.0,6367890,1015127,15.94
2014,18,Indiana,49446.0,6391460,974218,15.24
2015,18,Indiana,50532.0,6417418,933181,14.54
2016,18,Indiana,52314.0,6432804,906077,14.09
2017,18,Indiana,54181.0,6463636,871247,13.48
2018,18,Indiana,55746.0,6489261,852638,13.14
2019,18,Indiana,57603.0,6517430,775823,11.9
2010,19,Iowa,47961.0,2950251,370507,12.56
2011,19,Iowa,49427.0,2963602,378864,12.78
2012,19,Iowa,50957.0,2974225,377484,12.69
2013,19,Iowa,52229.0,2991670,379127,12.67
2014,19,Iowa,53712.0,3004857,367816,12.24
2015,19,Iowa,54736.0,3021823,367414,12.16
2016,19,Iowa,56247.0,3031338,356378,11.76
2017,19,Iowa,58570.0,3044685,326636,10.73
2018,19,Iowa,59955.0,3055939,343504,11.24
2019,19,Iowa,61691.0,3058938,341613,11.17
2010,20,Kansas,48257.0,2775355,377530,13.6
2011,20,Kansas,48964.0,2786855,383467,13.76
2012,20,Kansas,50241.0,2802207,391734,13.98
2013,20,Kansas,50972.0,2811722,393358,13.99
2014,20,Kansas,52504.0,2821431,382712,13.56
2015,20,Kansas,53906.0,2830943,368879,13.03
2016,20,Kansas,54935.0,2825864,342544,12.12
2017,20,Kansas,56422.0,2827376,336487,11.9
2018,20,Kansas,58218.0,2825680,338175,11.97
2019,20,Kansas,62087.0,2826818,323189,11.43
2010,21,Kentucky,40062.0,4215643,800226,18.98
2011,21,Kentucky,41141.0,4238283,811277,19.14
2012,21,Kentucky,41724.0,4247103,823197,19.38
2013,21,Kentucky,43399.0,4266556,800635,18.77
2014,21,Kentucky,42958.0,4275359,817542,19.12
2015,21,Kentucky,45215.0,4290022,794055,18.51
2016,21,Kentucky,46659.0,4298953,794060,18.47
2017,21,Kentucky,48375.0,4316917,744239,17.24
2018,21,Kentucky,50247.0,4326305,730408,16.88
2019,21,Kentucky,52295.0,4326675,703627,16.26
2010,22,Louisiana,42505.0,4413890,825144,18.69
2011,22,Louisiana,41734.0,4445400,908375,20.43
2012,22,Louisiana,42944.0,4471142,891981,19.95
2013,22,Louisiana,44164.0,4494989,888019,19.76
2014,22,Louisiana,44555.0,4518525,896524,19.84
2015,22,Louisiana,45727.0,4541688,889946,19.6
2016,22,Louisiana,45146.0,4546017,918187,20.2
2017,22,Louisiana,46145.0,4553037,899039,19.75
2018,22,Louisiana,47905.0,4529028,843626,18.63
2019,22,Louisiana,51073.0,4515876,857894,19.0
2010,23,Maine,45815.0,1293012,167242,12.93
2011,23,Maine,46033.0,1291650,182448,14.13
2012,23,Maine,46709.0,1293457,189786,14.67
2013,23,Maine,46974.0,1293827,180639,13.96
2014,23,Maine,49462.0,1294009,182791,14.13
2015,23,Maine,51494.0,1292996,172620,13.35
2016,23,Maine,53079.0,1295971,161749,12.48
2017,23,Maine,56277.0,1301216,144012,11.07
2018,23,Maine,55602.0,1301941,151541,11.64
2019,23,Maine,58924.0,1304100,141803,10.87
2010,24,Maryland,68854.0,5643821,557140,9.87
2011,24,Maryland,70004.0,5685412,571887,10.06
2012,24,Maryland,71122.0,5744445,590803,10.28
2013,24,Maryland,72483.0,5788159,585571,10.12
2014,24,Maryland,73971.0,5835377,589818,10.11
2015,24,Maryland,75847.0,5863290,570776,9.73
2016,24,Maryland,78945.0,5875026,567715,9.66
2017,24,Maryland,80776.0,5915309,549171,9.28
2018,24,Maryland,83242.0,5899819,528203,8.95
2019,24,Maryland,86738.0,5898360,532241,9.02
2010,25,Massachusetts,62072.0,6333611,725143,11.45
2011,25,Massachusetts,62859.0,6367148,738514,11.6
2012,25,Massachusetts,65339.0,6414762,762645,11.89
2013,25,Massachusetts,66768.0,6456530,770513,11.93
2014,25,Massachusetts,69160.0,6509672,757235,11.63
2015,25,Massachusetts,70628.0,6558724,752071,11.47
2016,25,Massachusetts,75297.0,6574249,686597,10.44
2017,25,Massachusetts,77385.0,6622444,692201,10.45
2018,25,Massachusetts,79835.0,6665083,663918,9.96
2019,25,Massachusetts,85843.0,6656430,625763,9.4
2010,26,Michigan,45413.0,9656449,1618257,16.76
2011,26,Michigan,45981.0,9656260,1693294,17.54
2012,26,Michigan,46859.0,9663760,1685178,17.44
2013,26,Michigan,48273.0,9669513,1648436,17.05
2014,26,Michigan,49847.0,9686787,1568844,16.2
2015,26,Michigan,51084.0,9698396,1529645,15.77
2016,26,Michigan,52492.0,9702321,1451936,14.96
2017,26,Michigan,54909.0,9730205,1377766,14.16
2018,26,Michigan,56697.0,9774124,1373349,14.05
2019,26,Michigan,59584.0,9772151,1269062,12.99
2010,27,Minnesota,55459.0,5189200,599516,11.55
2011,27,Minnesota,56954.0,5222556,621970,11.91
2012,27,Minnesota,58906.0,5257443,598371,11.38
2013,27,Minnesota,60702.0,5292348,592422,11.19
2014,27,Minnesota,61481.0,5332552,611354,11.46
2015,27,Minnesota,63488.0,5366594,546431,10.18
2016,27,Minnesota,65599.0,5396363,533276,9.88
2017,27,Minnesota,68388.0,5450582,517476,9.49
2018,27,Minnesota,70315.0,5488344,529077,9.64
2019,27,Minnesota,74593.0,5515416,494683,8.97
2010,28,Mississippi,36851.0,2875594,643883,22.39
2011,28,Mississippi,36919.0,2884215,650524,22.55
2012,28,Mississippi,37095.0,2890890,698252,24.15
2013,28,Mississippi,37963.0,2893768,695915,24.05
2014,28,Mississippi,39680.0,2895470,623113,21.52
2015,28,Mississippi,40593.0,2896579,637128,22.0
2016,28,Mississippi,41754.0,2892894,602768,20.84
