year,state_name,per_pupil_spending
2010,Alabama,8725.97101192241
2011,Alabama,8576.869771333335
2012,Alabama,8772.540782958678
2013,Alabama,9036.174200352718
2014,Alabama,9146.460735805547
2015,Alabama,9257.567687879224
2016,Alabama,9527.70292376465
2017,Alabama,9716.658875282175
2018,Alabama,10106.52825138296
2019,Alabama,10140.18446055345
2010,Alaska,16663.16057802943
2011,Alaska,17475.47118558783
2012,Alaska,18217.1470617314
2013,Alaska,18465.91085502199
2014,Alaska,20190.8288101482
2015,Alaska,17509.92235633355
2016,Alaska,17837.58383871867
2017,Alaska,17725.78796887229
2018,Alaska,18393.05793239312
2019,Alaska,18313.10043403501
2010,Arizona,7781.854881404356
2011,Arizona,7383.086411513637
2012,Arizona,7494.629106908124
2013,Arizona,7426.770989936005
2014,Arizona,7590.187653691869
2015,Arizona,7772.177876256597
2016,Arizona,8053.187081755256
2017,Arizona,8372.606504626949
2018,Arizona,8772.758387680156
2019,Arizona,8694.369790915835
2010,Arkansas,9495.962328411952
2011,Arkansas,9536.040390052865
2012,Arkansas,9538.41826405873
2013,Arkansas,9751.590229377178
2014,Arkansas,9804.754396364355
2015,Arkansas,9900.217159217445
2016,Arkansas,10004.04221729993
2017,Arkansas,10167.80989951319
2018,Arkansas,10411.53269290175
2019,Arkansas,10368.66128224065
2010,California,9146.374347372748
2011,California,9220.216166966238
2012,California,9258.49863218239
2013,California,9671.240259872957
2014,California,10448.71098693459
2015,California,11420.47367021103
2016,California,12151.22120105789
2017,California,12664.23808306946
2018,California,13641.0689775782
2019,California,13841.18038468597
2010,Colorado,8786.103598176722
2011,Colorado,8594.037505926148
2012,Colorado,8693.048746990658
2013,Colorado,9035.721406751889
2014,Colorado,9291.79464030614
2015,Colorado,9618.789916050502
2016,Colorado,9849.440847098236
2017,Colorado,10238.06052752999
2018,Colorado,11072.01478822559
2019,Colorado,11646.82635347555
2010,Connecticut,16223.53256646199
2011,Connecticut,16854.93382837004
2012,Connecticut,17320.8838723378
2013,Connecticut,18400.65645367997
2014,Connecticut,19019.58626662588
2015,Connecticut,19614.57541552572
2016,Connecticut,19929.37464820844
2017,Connecticut,20147.10854376534
2018,Connecticut,21140.03831313588
2019,Connecticut,20889.13641276328
2010,Delaware,12467.28564252761
2011,Delaware,13580.43458502009
2012,Delaware,13652.7431525429
2013,Delaware,13793.18557640466
